Entity,Code,Year,Population growth rate - Sex: all - Age: all - Variant: estimates,Population growth rate - Sex: all - Age: all - Variant: medium
India,IND,1985,2.314,
India,IND,1986,2.303,
India,IND,1987,2.259,
India,IND,1988,2.242,
India,IND,1989,2.228,
India,IND,1990,2.199,
India,IND,1991,2.137,
India,IND,1992,2.123,
India,IND,1993,2.077,
India,IND,1994,2.012,
India,IND,1995,2.014,
India,IND,1996,1.982,
India,IND,1997,1.951,
India,IND,1998,1.921,
India,IND,1999,1.883,
India,IND,2000,1.875,
India,IND,2001,1.866,
India,IND,2002,1.758,
India,IND,2003,1.711,
India,IND,2004,1.696,
India,IND,2005,1.568,
India,IND,2006,1.56,
India,IND,2007,1.453,
India,IND,2008,1.425,
India,IND,2009,1.467,
India,IND,2010,1.443,
India,IND,2011,1.391,
India,IND,2012,1.357,
India,IND,2013,1.309,
India,IND,2014,1.215,
India,IND,2015,1.171,
India,IND,2016,1.212,
India,IND,2017,1.114,
India,IND,2018,1.081,
India,IND,2019,0.999,
India,IND,2020,0.948,
India,IND,2021,0.699,
India,IND,2022,0.881,
India,IND,2023,0.885,