Entity,Code,Year,Renewable internal freshwater resources per capita (cubic meters)
India,IND,1985,1853.271
India,IND,1986,1812.3049
India,IND,1987,1772.6755
India,IND,1988,1734.3751
India,IND,1989,1697.1578
India,IND,1990,1661.2056
India,IND,1991,1626.6532
India,IND,1992,1593.2584
India,IND,1993,1560.9629
India,IND,1994,1529.7347
India,IND,1995,1499.5658
India,IND,1996,1470.5864
India,IND,1997,1442.6311
India,IND,1998,1415.656
India,IND,1999,1389.7164
India,IND,2000,1364.6226
India,IND,2001,1340.1659
India,IND,2002,1316.5646
India,IND,2003,1294.058
India,IND,2004,1272.591
India,IND,2005,1252.3398
India,IND,2006,1233.395
India,IND,2007,1215.4408
India,IND,2008,1198.2749
India,IND,2009,1181.72
India,IND,2010,1165.5522
India,IND,2011,1149.7898
India,IND,2012,1134.574
India,IND,2013,1119.9474
India,IND,2014,1106.1418
India,IND,2015,1093.0808
India,IND,2016,1080.2037
India,IND,2017,1067.7925
India,IND,2018,1056.2429
India,IND,2019,1045.4684
India,IND,2020,1035.5294